x (m)	y (m)	z (m)	 	R (m)	Theta (deg)	z (m)	 	Bx (T)	By (T)	Bz (T)	 	Br (T)	Btheta (T)	Bz (T)	 	B (T)
-0.05	0	0	 	0.05	180	0	 	-3.59455e-15	-0.341646	0	 	3.55271e-15	0.341646	0	 	0.341646
0	0	0	 	0	0	0	 	-nan	-nan	-nan	 	-nan	-nan	-nan	 	-nan
0.05	0	0	 	0.05	0	0	 	-3.55271e-15	0.341646	0	 	-3.55271e-15	0.341646	0	 	0.341646
0.1	0	0	 	0.1	0	0	 	-1.77636e-15	0.646589	0	 	-1.77636e-15	0.646589	0	 	0.646589
0.15	0	0	 	0.15	0	0	 	8.88178e-16	0.951537	0	 	8.88178e-16	0.951537	0	 	0.951537
0.2	0	0	 	0.2	0	0	 	0	1.25649	0	 	0	1.25649	0	 	1.25649
0.25	0	0	 	0.25	0	0	 	0	1.56142	0	 	0	1.56142	0	 	1.56142
0.3	0	0	 	0.3	0	0	 	0	1.86624	0	 	0	1.86624	0	 	1.86624
0.35	0	0	 	0.35	0	0	 	-4.44089e-16	2.17079	0	 	-4.44089e-16	2.17079	0	 	2.17079
0.4	0	0	 	0.4	0	0	 	0	2.47488	0	 	0	2.47488	0	 	2.47488
0.45	0	0	 	0.45	0	0	 	0	2.77829	0	 	0	2.77829	0	 	2.77829
0.5	0	0	 	0.5	0	0	 	0	3.08079	0	 	0	3.08079	0	 	3.08079
0.55	0	0	 	0.55	0	0	 	0	3.38209	0	 	0	3.38209	0	 	3.38209
0.6	0	0	 	0.6	0	0	 	0	3.68179	0	 	0	3.68179	0	 	3.68179
0.65	0	0	 	0.65	0	0	 	0	3.97928	0	 	0	3.97928	0	 	3.97928
0.7	0	0	 	0.7	0	0	 	2.22045e-16	4.27355	0	 	2.22045e-16	4.27355	0	 	4.27355
0.75	0	0	 	0.75	0	0	 	2.22045e-16	4.56279	0	 	2.22045e-16	4.56279	0	 	4.56279
0.8	0	0	 	0.8	0	0	 	-2.22045e-16	4.84342	0	 	-2.22045e-16	4.84342	0	 	4.84342
0.85	0	0	 	0.85	0	0	 	-2.22045e-16	5.10702	0	 	-2.22045e-16	5.10702	0	 	5.10702
0.9	0	0	 	0.9	0	0	 	-2.22045e-16	5.32846	0	 	-2.22045e-16	5.32846	0	 	5.32846
0.95	0	0	 	0.95	0	0	 	0	5.38204	0	 	0	5.38204	0	 	5.38204
1	0	0	 	1	0	0	 	-nan	-nan	-nan	 	-nan	-nan	-nan	 	-nan
1.05	0	0	 	1.05	0	0	 	-2.22045e-16	5.8597	0	 	-2.22045e-16	5.8597	0	 	5.8597
1.1	0	0	 	1.1	0	0	 	0	5.58216	0	 	0	5.58216	0	 	5.58216
1.15	0	0	 	1.15	0	0	 	2.22045e-16	5.32832	0	 	2.22045e-16	5.32832	0	 	5.32832
1.2	0	0	 	1.2	0	0	 	1.11022e-16	5.09523	0	 	1.11022e-16	5.09523	0	 	5.09523
1.25	0	0	 	1.25	0	0	 	1.11022e-16	4.88041	0	 	1.11022e-16	4.88041	0	 	4.88041
1.3	0	0	 	1.3	0	0	 	1.11022e-16	4.68175	0	 	1.11022e-16	4.68175	0	 	4.68175
1.35	0	0	 	1.35	0	0	 	0	4.49747	0	 	0	4.49747	0	 	4.49747
1.4	0	0	 	1.4	0	0	 	1.11022e-16	4.32603	0	 	1.11022e-16	4.32603	0	 	4.32603
1.45	0	0	 	1.45	0	0	 	0	4.16611	0	 	0	4.16611	0	 	4.16611
1.5	0	0	 	1.5	0	0	 	-1.11022e-16	4.01658	0	 	-1.11022e-16	4.01658	0	 	4.01658
1.55	0	0	 	1.55	0	0	 	0	3.87642	0	 	0	3.87642	0	 	3.87642
1.6	0	0	 	1.6	0	0	 	0	3.74477	0	 	0	3.74477	0	 	3.74477
1.65	0	0	 	1.65	0	0	 	0	3.62086	0	 	0	3.62086	0	 	3.62086
1.7	0	0	 	1.7	0	0	 	-1.11022e-16	3.50402	0	 	-1.11022e-16	3.50402	0	 	3.50402
1.75	0	0	 	1.75	0	0	 	0	3.39365	0	 	0	3.39365	0	 	3.39365
1.8	0	0	 	1.8	0	0	 	0	3.2892	0	 	0	3.2892	0	 	3.2892
1.85	0	0	 	1.85	0	0	 	0	3.19022	0	 	0	3.19022	0	 	3.19022
1.9	0	0	 	1.9	0	0	 	0	3.09627	0	 	0	3.09627	0	 	3.09627
1.95	0	0	 	1.95	0	0	 	0	3.00697	0	 	0	3.00697	0	 	3.00697
2	0	0	 	2	0	0	 	0	2.92199	0	 	0	2.92199	0	 	2.92199
2.05	0	0	 	2.05	0	0	 	0	2.841	0	 	0	2.841	0	 	2.841
2.1	0	0	 	2.1	0	0	 	0	2.76373	0	 	0	2.76373	0	 	2.76373
2.15	0	0	 	2.15	0	0	 	0	2.68993	0	 	0	2.68993	0	 	2.68993
2.2	0	0	 	2.2	0	0	 	0	2.61936	0	 	0	2.61936	0	 	2.61936
2.25	0	0	 	2.25	0	0	 	0	2.55181	0	 	0	2.55181	0	 	2.55181
2.3	0	0	 	2.3	0	0	 	0	2.4871	0	 	0	2.4871	0	 	2.4871
2.35	0	0	 	2.35	0	0	 	0	2.42504	0	 	0	2.42504	0	 	2.42504
2.4	0	0	 	2.4	0	0	 	0	2.36547	0	 	0	2.36547	0	 	2.36547
2.45	0	0	 	2.45	0	0	 	0	2.30825	0	 	0	2.30825	0	 	2.30825
2.5	0	0	 	2.5	0	0	 	0	2.25324	0	 	0	2.25324	0	 	2.25324
2.55	0	0	 	2.55	0	0	 	0	2.20032	0	 	0	2.20032	0	 	2.20032
2.6	0	0	 	2.6	0	0	 	0	2.14936	0	 	0	2.14936	0	 	2.14936
2.65	0	0	 	2.65	0	0	 	0	2.10026	0	 	0	2.10026	0	 	2.10026
2.7	0	0	 	2.7	0	0	 	0	2.05292	0	 	0	2.05292	0	 	2.05292
2.75	0	0	 	2.75	0	0	 	0	2.00725	0	 	0	2.00725	0	 	2.00725
2.8	0	0	 	2.8	0	0	 	0	1.96316	0	 	0	1.96316	0	 	1.96316
2.85	0	0	 	2.85	0	0	 	0	1.92057	0	 	0	1.92057	0	 	1.92057
2.9	0	0	 	2.9	0	0	 	0	1.87941	0	 	0	1.87941	0	 	1.87941
2.95	0	0	 	2.95	0	0	 	0	1.83961	0	 	0	1.83961	0	 	1.83961
3	0	0	 	3	0	0	 	5.55112e-17	1.8011	0	 	5.55112e-17	1.8011	0	 	1.8011
3.05	0	0	 	3.05	0	0	 	0	1.76383	0	 	0	1.76383	0	 	1.76383
3.1	0	0	 	3.1	0	0	 	0	1.72773	0	 	0	1.72773	0	 	1.72773
3.15	0	0	 	3.15	0	0	 	-5.55112e-17	1.69275	0	 	-5.55112e-17	1.69275	0	 	1.69275
3.2	0	0	 	3.2	0	0	 	0	1.65885	0	 	0	1.65885	0	 	1.65885
3.25	0	0	 	3.25	0	0	 	0	1.62597	0	 	0	1.62597	0	 	1.62597
3.3	0	0	 	3.3	0	0	 	0	1.59408	0	 	0	1.59408	0	 	1.59408
3.35	0	0	 	3.35	0	0	 	0	1.56312	0	 	0	1.56312	0	 	1.56312
3.4	0	0	 	3.4	0	0	 	-5.55112e-17	1.53306	0	 	-5.55112e-17	1.53306	0	 	1.53306
3.45	0	0	 	3.45	0	0	 	0	1.50387	0	 	0	1.50387	0	 	1.50387
3.5	0	0	 	3.5	0	0	 	-5.55112e-17	1.4755	0	 	-5.55112e-17	1.4755	0	 	1.4755
3.55	0	0	 	3.55	0	0	 	0	1.44793	0	 	0	1.44793	0	 	1.44793
3.6	0	0	 	3.6	0	0	 	-5.55112e-17	1.42113	0	 	-5.55112e-17	1.42113	0	 	1.42113
3.65	0	0	 	3.65	0	0	 	0	1.39506	0	 	0	1.39506	0	 	1.39506
3.7	0	0	 	3.7	0	0	 	0	1.36969	0	 	0	1.36969	0	 	1.36969
3.75	0	0	 	3.75	0	0	 	0	1.34501	0	 	0	1.34501	0	 	1.34501
3.8	0	0	 	3.8	0	0	 	0	1.32098	0	 	0	1.32098	0	 	1.32098
3.85	0	0	 	3.85	0	0	 	0	1.29758	0	 	0	1.29758	0	 	1.29758
3.9	0	0	 	3.9	0	0	 	0	1.27478	0	 	0	1.27478	0	 	1.27478
3.95	0	0	 	3.95	0	0	 	0	1.25258	0	 	0	1.25258	0	 	1.25258
4	0	0	 	4	0	0	 	0	1.23094	0	 	0	1.23094	0	 	1.23094
4.05	0	0	 	4.05	0	0	 	0	1.20984	0	 	0	1.20984	0	 	1.20984
4.1	0	0	 	4.1	0	0	 	0	1.18927	0	 	0	1.18927	0	 	1.18927
4.15	0	0	 	4.15	0	0	 	0	1.16921	0	 	0	1.16921	0	 	1.16921
4.2	0	0	 	4.2	0	0	 	0	1.14964	0	 	0	1.14964	0	 	1.14964
4.25	0	0	 	4.25	0	0	 	0	1.13054	0	 	0	1.13054	0	 	1.13054
4.3	0	0	 	4.3	0	0	 	0	1.11191	0	 	0	1.11191	0	 	1.11191
4.35	0	0	 	4.35	0	0	 	0	1.09371	0	 	0	1.09371	0	 	1.09371
4.4	0	0	 	4.4	0	0	 	0	1.07595	0	 	0	1.07595	0	 	1.07595
4.45	0	0	 	4.45	0	0	 	0	1.05861	0	 	0	1.05861	0	 	1.05861
4.5	0	0	 	4.5	0	0	 	0	1.04167	0	 	0	1.04167	0	 	1.04167
4.55	0	0	 	4.55	0	0	 	0	1.02512	0	 	0	1.02512	0	 	1.02512
4.6	0	0	 	4.6	0	0	 	0	1.00895	0	 	0	1.00895	0	 	1.00895
4.65	0	0	 	4.65	0	0	 	0	0.99314	0	 	0	0.99314	0	 	0.99314
4.7	0	0	 	4.7	0	0	 	0	0.977692	0	 	0	0.977692	0	 	0.977692
4.75	0	0	 	4.75	0	0	 	0	0.962588	0	 	0	0.962588	0	 	0.962588
4.8	0	0	 	4.8	0	0	 	0	0.947819	0	 	0	0.947819	0	 	0.947819
4.85	0	0	 	4.85	0	0	 	0	0.933375	0	 	0	0.933375	0	 	0.933375
4.9	0	0	 	4.9	0	0	 	0	0.919247	0	 	0	0.919247	0	 	0.919247
4.95	0	0	 	4.95	0	0	 	0	0.905426	0	 	0	0.905426	0	 	0.905426
5	0	0	 	5	0	0	 	0	0.891902	0	 	0	0.891902	0	 	0.891902
